DB,Efetivo,Efetivo,Dev React Pleno/Senior - Segmento Governamental,https://db.gupy.io/job/eyJqb2JJZCI6ODMxMjM4Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 17/12/2024
YDUQS,Efetivo,Efetivo,PESSOA DESENVOLVEDORA REACT NATIVE SÊNIOR - DESIGN SYSTEM,https://yduqs.gupy.io/job/eyJqb2JJZCI6ODE3NDE5Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 17/12/2024
Grupo Boticário,Efetivo,Efetivo,Pessoa Desenvolvedora Fullstack Especialista I Node/React (Backoffice Franqueado),https://grupoboticario.gupy.io/job/eyJqb2JJZCI6ODI4MDk1OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 17/12/2024
Softplan,Efetivo,Efetivo,Pessoa Desenvolvedora Fullstack Java/React Pl. Cód. 4893,https://softplan.gupy.io/job/eyJqb2JJZCI6ODI5NDg5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 18/12/2024
Minsait an Indra Company,Efetivo,Efetivo,Desenvolvedor Back-End Java Sênior,https://minsait.gupy.io/job/eyJqb2JJZCI6ODI5NzgxMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 18/12/2024
Oportunidade Mercado Bitcoin,Efetivo,Efetivo,Pessoa Desenvolvedora Back End Java Sr,https://mb.gupy.io/job/eyJqb2JJZCI6ODMxOTg1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 18/12/2024
Viasoft,Efetivo,Efetivo,Desenvolvedor Java JR- CRM,https://viasoft.gupy.io/job/eyJqb2JJZCI6ODMwNzgxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 18/12/2024
Grupo RBS,Temporário,Temporário,Desenvolvedor(a) React PL,https://gruporbs.gupy.io/job/eyJqb2JJZCI6ODMxOTE4NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 18/12/2024
Montreal & Tecnologia & Inovação,Efetivo,Efetivo,Desenvolvedor Full Stack Java Pl.,https://montreal.gupy.io/job/eyJqb2JJZCI6ODMyMzQzMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 19/12/2024
Grupo Petlove,Efetivo,Efetivo,Desenvolvedor Java Senior,https://petlove.gupy.io/job/eyJqb2JJZCI6ODIzNzI1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 19/12/2024
Contabilizei,Efetivo,Efetivo,Desenvolvedor(a) Back-End Sênior (Java/Kotlin),https://contabilizei.gupy.io/job/eyJqb2JJZCI6ODMyNzE0OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 19/12/2024
MJV Technology & Innovation,Efetivo,Efetivo,Pessoa Desenvolvedora Back-end (Java),https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODMwNDI5MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 19/12/2024
Radix Engenharia e Software,Efetivo,Efetivo,Profissional de Desenvolvimento React Native Sênior,https://radixeng.gupy.io/job/eyJqb2JJZCI6ODMwNDMyMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 19/12/2024
